id,Choice,Choose,Alt,Dark ,Soft,Nuts
1,c1,0,1,0,0,0
1,c2,1,2,0,0,1
1,c3,0,3,0,1,0
1,c4,0,4,0,1,1
1,c5,0,5,1,0,0
1,c6,0,6,1,0,1
1,c7,0,7,1,1,0
1,c8,0,8,1,1,1
2,c1,0,1,0,0,0
2,c2,1,2,0,0,1
2,c3,0,3,0,1,0
2,c4,0,4,0,1,1
2,c5,0,5,1,0,0
2,c6,0,6,1,0,1
2,c7,0,7,1,1,0
2,c8,0,8,1,1,1
3,c1,0,1,0,0,0
3,c2,0,2,0,0,1
3,c3,0,3,0,1,0
3,c4,0,4,0,1,1
3,c5,1,5,1,0,0
3,c6,0,6,1,0,1
3,c7,0,7,1,1,0
3,c8,0,8,1,1,1
4,c1,0,1,0,0,0
4,c2,0,2,0,0,1
4,c3,0,3,0,1,0
4,c4,0,4,0,1,1
4,c5,1,5,1,0,0
4,c6,0,6,1,0,1
4,c7,0,7,1,1,0
4,c8,0,8,1,1,1
5,c1,0,1,0,0,0
5,c2,0,2,0,0,1
5,c3,0,3,0,1,0
5,c4,0,4,0,1,1
5,c5,0,5,1,0,0
5,c6,1,6,1,0,1
5,c7,0,7,1,1,0
5,c8,0,8,1,1,1
6,c1,0,1,0,0,0
6,c2,0,2,0,0,1
6,c3,0,3,0,1,0
6,c4,0,4,0,1,1
6,c5,0,5,1,0,0
6,c6,1,6,1,0,1
6,c7,0,7,1,1,0
6,c8,0,8,1,1,1
7,c1,0,1,0,0,0
7,c2,0,2,0,0,1
7,c3,0,3,0,1,0
7,c4,0,4,0,1,1
7,c5,0,5,1,0,0
7,c6,1,6,1,0,1
7,c7,0,7,1,1,0
7,c8,0,8,1,1,1
8,c1,0,1,0,0,0
8,c2,0,2,0,0,1
8,c3,0,3,0,1,0
8,c4,0,4,0,1,1
8,c5,0,5,1,0,0
8,c6,1,6,1,0,1
8,c7,0,7,1,1,0
8,c8,0,8,1,1,1
9,c1,0,1,0,0,0
9,c2,0,2,0,0,1
9,c3,0,3,0,1,0
9,c4,0,4,0,1,1
9,c5,0,5,1,0,0
9,c6,1,6,1,0,1
9,c7,0,7,1,1,0
9,c8,0,8,1,1,1
10,c1,0,1,0,0,0
10,c2,0,2,0,0,1
10,c3,0,3,0,1,0
10,c4,0,4,0,1,1
10,c5,0,5,1,0,0
10,c6,0,6,1,0,1
10,c7,1,7,1,1,0
10,c8,0,8,1,1,1
